Code,2017-05-18 00:00:00,2017-05-23 00:00:00,2017-05-30 00:00:00,2017-06-08 00:00:00,2017-06-15 00:00:00,2017-06-21 00:00:00,2017-06-27 00:00:00,2017-07-03 00:00:00,2017-07-06 00:00:00,2017-07-13 00:00:00,2017-07-17 00:00:00,2017-07-27 00:00:00,2017-08-02 00:00:00,2017-08-11 00:00:00,2017-08-17 00:00:00
1545384.0,,,,,,64.0,66.25,,,69.0,69.0,,,,
1553694.0,,,,,,18.0,31.5,49.0,,44.0,,,,,
1576641.0,,,,,,,,,,,,,,,
1601502.0,,,,,,37.5,37.5,,,,39.0,39.0,49.0,49.0,
1631664.0,,,,,,,,,,,,,18.0,,
1697691.0,,,,,,,70.0,,,,,,,,
1698168.0,,,,,,,,,,,,,,,
1767881.0,,,,,,,,,,,,,,,
1824038.0,,,,,,,,,,,,,,,
1841223.0,,,,,,73.0,77.0,80.0,,88.0,88.25,,,,
1841225.0,,,,,,39.0,44.0,49.0,,49.0,49.0,,,,
1889479.0,,,,,,,70.0,,,,,,,,
1889482.0,,,,,,,70.0,,,,,,,,
1896343.0,,,,,,15.0,37.25,39.0,,39.0,,70.0,71.0,,78.0
1936133.0,,,,,,61.5,65.25,,,68.0,69.0,100.0,,,
1936134.0,,,,,,37.0,37.5,,,39.0,39.0,,49.0,49.0,
1936135.0,,,,,,73.5,76.0,85.0,,84.5,,90.5,92.0,,
2041694.0,,,,,,,,,,,,,,,
2081267.0,,,,,,73.0,75.0,,,,85.75,89.0,92.0,,
2081268.0,,,,,,61.0,66.0,,,,69.0,71.5,,,
2081887.0,,,,,,17.0,,,,51.0,63.5,70.5,77.0,75.0,78.0
2088262.0,,,,,,18.0,39.0,39.0,,51.0,63.0,71.5,71.0,77.0,78.0
2278835.0,,,,,,16.5,,,,48.0,62.0,71.0,75.0,77.0,81.0
2294423.0,,,,,,,69.75,,,,,,,,
